t_ms,vm_soma_mV,vm_far_mV
6.74,-75.01353755,-80.24797296
6.75,-74.99358639,-80.23952864
6.76,-74.97361237,-80.23105116
6.77,-74.9536156,-80.22254048
6.78,-74.9335962,-80.21399656
6.79,-74.91355427,-80.20541935
6.8,-74.89348994,-80.19680881
6.81,-74.87340331,-80.18816488
6.82,-74.85329452,-80.17948753
6.83,-74.83316366,-80.17077672
6.84,-74.81301086,-80.1620324
6.85,-74.79283624,-80.15325454
6.86,-74.77263991,-80.14444308
6.87,-74.75242199,-80.135598
6.88,-74.7321826,-80.12671925
6.89,-74.71192185,-80.1178068
6.9,-74.69163987,-80.10886061
6.91,-74.67133677,-80.09988064
6.92,-74.65101267,-80.09086686
6.93,-74.63066769,-80.08181923
6.94,-74.61030195,-80.07273772
6.95,-74.58991557,-80.06362229
6.96,-74.56950867,-80.05447292
6.97,-74.54908136,-80.04528956
6.98,-74.52863378,-80.0360722
6.99,-74.50816604,-80.0268208
7,-74.48767826,-80.01753533
7.01,-74.46717056,-80.00821577
7.02,-74.44664307,-79.99886208
7.03,-74.4260959,-79.98947424
7.04,-74.40552917,-79.98005222
7.05,-74.38494302,-79.97059601
7.06,-74.36433756,-79.96110557
7.07,-74.34371292,-79.95158088
7.08,-74.32306921,-79.94202193
7.09,-74.30240656,-79.93242868
7.1,-74.28172509,-79.92280112
7.11,-74.26102494,-79.91313923
7.12,-74.24030621,-79.90344299
7.13,-74.21956904,-79.89371238
7.14,-74.19881354,-79.88394739
7.15,-74.17803985,-79.874148
7.16,-74.15724809,-79.86431419
7.17,-74.13643838,-79.85444596
7.18,-74.11561084,-79.84454328
7.19,-74.09476561,-79.83460614
7.2,-74.0739028,-79.82463454
7.21,-74.05302255,-79.81462846
7.22,-74.03212498,-79.80458789
7.23,-74.0112102,-79.79451283
7.24,-73.99027836,-79.78440326
7.25,-73.96932958,-79.77425919
7.26,-73.94836397,-79.76408059
7.27,-73.92738168,-79.75386748
7.28,-73.90638281,-79.74361984
7.29,-73.88536751,-79.73333767
7.3,-73.8643359,-79.72302096
7.31,-73.84328811,-79.71266973
7.32,-73.82222425,-79.70228396
7.33,-73.80114447,-79.69186367
7.34,-73.78004888,-79.68140884
7.35,-73.75893761,-79.67091948
7.36,-73.7378108,-79.6603956
7.37,-73.71666857,-79.64983719
7.38,-73.69551104,-79.63924427
7.39,-73.67433835,-79.62861685
7.4,-73.65315062,-79.61795492
7.41,-73.63194798,-79.6072585
7.42,-73.61073056,-79.59652759
7.43,-73.58949849,-79.58576221
7.44,-73.56825189,-79.57496236
7.45,-73.5469909,-79.56412807
7.46,-73.52571563,-79.55325934
