t_ms,vm_soma_mV,vm_far_mV
6.51,-75.46584653,-80.43317964
6.52,-75.44645149,-80.4254864
6.53,-75.4270307,-80.41775692
6.54,-75.40758725,-80.4099989
6.55,-75.38811483,-80.40219813
6.56,-75.368619,-80.39437694
6.57,-75.34910492,-80.3865181
6.58,-75.32956219,-80.37862833
6.59,-75.30998825,-80.37070898
6.6,-75.29039262,-80.36275173
6.61,-75.27077505,-80.354766
6.62,-75.25112665,-80.34674871
6.63,-75.23145545,-80.33869484
6.64,-75.21176225,-80.33060714
6.65,-75.19204592,-80.32249999
6.66,-75.17230796,-80.31435096
6.67,-75.15254036,-80.30617082
6.68,-75.13275041,-80.29795742
6.69,-75.11293903,-80.28970981
6.7,-75.093105,-80.28142871
6.71,-75.07324379,-80.27312153
6.72,-75.05335889,-80.26477868
6.73,-75.03345259,-80.25639215
6.74,-75.01352443,-80.24798272
6.75,-74.99356755,-80.23953469
6.76,-74.97359011,-80.2310595
6.77,-74.95359889,-80.22254556
6.78,-74.93358486,-80.21400421
6.79,-74.91354902,-80.20542933
6.8,-74.89348616,-80.19681437
6.81,-74.87340089,-80.18816894
6.82,-74.85328823,-80.17949195
6.83,-74.83315526,-80.17078222
6.84,-74.81300095,-80.16203286
6.85,-74.79282601,-80.1532559
6.86,-74.77262433,-80.14444371
6.87,-74.7524082,-80.13559862
6.88,-74.73216332,-80.12672259
6.89,-74.71190125,-80.1178132
6.9,-74.69162478,-80.10886664
6.91,-74.67131966,-80.09988668
6.92,-74.65099598,-80.0908824
6.93,-74.63065072,-80.08183594
6.94,-74.61028437,-80.07275351
6.95,-74.58989928,-80.06363976
6.96,-74.56949519,-80.05449425
6.97,-74.5490692,-80.04530735
6.98,-74.52861726,-80.03609109
6.99,-74.50815391,-80.02683649
7,-74.48766343,-80.01754765
7.01,-74.46715964,-80.00822773
7.02,-74.44662917,-79.99887808
7.03,-74.42607302,-79.98949173
7.04,-74.40549772,-79.98006774
7.05,-74.38491782,-79.97061506
7.06,-74.36431723,-79.96112011
7.07,-74.34369046,-79.95159642
7.08,-74.32304555,-79.94203931
7.09,-74.30238107,-79.93244089
7.1,-74.28170514,-79.9228096
7.11,-74.26100295,-79.91314717
7.12,-74.24028335,-79.90345256
7.13,-74.21954389,-79.89372332
7.14,-74.19879318,-79.88395404
7.15,-74.17801671,-79.87415911
7.16,-74.15722878,-79.8643271
7.17,-74.13642125,-79.85445493
7.18,-74.11558987,-79.84455021
7.19,-74.0947475,-79.83461249
7.2,-74.07388641,-79.82463757
7.21,-74.05300647,-79.81462757
7.22,-74.0321022,-79.80458996
7.23,-74.01119217,-79.79452117
7.24,-73.99025971,-79.78441207
7.25,-73.96931385,-79.77427309
7.26,-73.94834556,-79.76408885
7.27,-73.92735838,-79.75387837
7.28,-73.90636025,-79.7436311
